pageid,nodeid,userid,tag
768,1,10,2
768,1,26,2
768,1,57,2
768,1,61,2
768,1,66,2
768,1,70,2
768,1,72,2
768,1,78,2
768,2,10,3
768,2,26,3
768,2,57,3
768,2,61,3
768,2,66,3
768,2,70,3
768,2,72,2
768,2,78,2
768,3,10,3
768,3,26,3
768,3,57,3
768,3,61,3
768,3,66,3
768,3,70,3
768,3,72,2
768,3,78,2
768,4,10,3
768,4,26,3
768,4,57,3
768,4,61,3
768,4,66,3
768,4,70,3
768,4,72,2
768,4,78,2
768,5,10,3
768,5,26,3
768,5,57,3
768,5,61,3
768,5,66,3
768,5,70,3
768,5,72,2
768,5,78,2
768,6,10,3
768,6,26,3
768,6,57,3
768,6,61,3
768,6,66,3
768,6,70,3
768,6,72,2
768,6,78,2
768,7,10,1
768,7,26,1
768,7,57,2
768,7,61,1
768,7,66,2
768,7,70,1
768,7,72,2
768,7,78,2
768,8,10,1
768,8,26,1
768,8,57,2
768,8,61,1
768,8,66,2
768,8,70,1
768,8,72,2
768,8,78,2
768,9,10,1
768,9,26,1
768,9,57,2
768,9,61,1
768,9,66,2
768,9,70,1
768,9,72,2
768,9,78,2
768,10,10,1
768,10,26,1
768,10,57,2
768,10,61,1
768,10,66,2
768,10,70,1
768,10,72,2
768,10,78,2
768,11,10,1
768,11,26,1
768,11,57,2
768,11,61,1
768,11,66,2
768,11,70,1
768,11,72,2
768,11,78,2
768,12,10,1
768,12,26,1
768,12,57,2
768,12,61,1
768,12,66,2
768,12,70,1
768,12,72,2
768,12,78,2
768,13,10,1
768,13,26,1
768,13,57,2
768,13,61,1
768,13,66,2
768,13,70,1
768,13,72,2
768,13,78,2
768,14,10,1
768,14,26,1
768,14,57,2
768,14,61,1
768,14,66,2
768,14,70,1
768,14,72,2
768,14,78,2
768,15,10,1
768,15,26,3
768,15,57,2
768,15,61,3
768,15,66,3
768,15,70,1
768,15,72,2
768,15,78,3
768,16,10,3
768,16,26,3
768,16,57,3
768,16,61,3
768,16,66,3
768,16,70,3
768,16,72,3
768,16,78,3
768,17,10,1
768,17,26,3
768,17,57,3
768,17,61,3
768,17,66,2
768,17,70,1
768,17,72,3
768,17,78,2
768,18,10,1
768,18,26,1
768,18,57,1
768,18,61,2
