userid,cont_submisson,gradient_pagetime,max_pagetime,mean_pagetime,min_pagetime,multi_submisson,num_submisson,numdata_pagetime,tolong_submisson,total_pagetime,variance_pagetime
5,0,0,0,0,0,0,0,0,0,0,0
7,5,1.32540322581,401,62.3,3,1,36,30,0,1869,11106.562069
8,0,0,0,0,0,0,0,0,0,0,0
9,0,6.34035087719,444,189.105263158,31,0,19,19,0,3593,15755.6549708
10,1,-1305.43013937,438727,11597.675,31,1,42,40,0,463907,4808594849.92
11,1,-140.300766284,158556,6749.56,61,3,29,25,0,168739,1000342333.51
12,0,-3.79285714286,544,284.066666667,54,0,15,15,0,4261,15203.9238095
13,1,11.5220779221,20423,1602.57142857,65,0,22,21,0,33654,21954723.2571
14,1,-0.662561576355,214,74.6206896552,26,0,30,29,0,2164,1495.10098522
15,2,4.30147058824,522,134.03030303,31,0,35,33,0,4423,12359.842803
16,0,134.40964591,37658,1543.92592593,65,0,27,27,0,41686,52097784.9943
17,1,-0.487651821862,209,82.4615384615,10,0,40,39,0,3216,2543.5708502
18,0,-206.3810901,61800,2156.16666667,27,0,30,30,0,64685,126903740.695
19,0,-12.8408866995,947,208.793103448,38,0,29,29,0,6055,56852.3842365
20,0,-21.3181818182,342,149.636363636,58,0,11,11,0,1646,10362.2545455
21,0,6.0,1113,293.0,75,0,15,15,0,4395,67330.1428571
22,2,-5.89460376195,3777,379.121212121,51,13,48,33,0,12511,419502.922348
23,0,-196.335043988,167984,6107.75,48,0,32,32,0,195448,875397944.387
24,0,-28.6271708683,77662,2445.28571429,44,0,35,35,0,85585,171341545.034
25,0,399.532212885,324956,14173.2,59,0,35,35,0,496062,3644026741.64
26,0,-0.167741935484,3477,362.4,52,0,30,30,0,10872,387761.213793
27,0,2624.08195489,329104,17165.25,23,0,20,20,0,343305,5392733991.25
28,0,-4.02764094143,651,208.321428571,38,0,28,28,0,5833,22718.5965608
29,0,-405.596782497,89523,2603.25,12,0,36,36,0,93717,222095960.993
30,0,336.475555556,205363,8244.5,31,0,26,26,0,214357,1616841755.46
31,0,-15.2892156863,701,220.941176471,8,0,17,17,0,3756,44583.9338235
32,7,-94.8998123597,433809,8318.03773585,12,5,65,53,0,440856,3548565666.34
33,0,-48.9292307692,4341,451.4,62,0,25,25,0,11285,778846.75
34,0,257.694117647,26625,1840.5,36,0,16,16,0,29448,43704078.2667
35,7,-426.958310537,236889,11507.0285714,32,3,45,35,0,402746,1717177468.56
36,189,0.332722832723,384,84.64,0,2,216,25,0,2116,5942.90666667
37,0,-9.89461538462,721,238.4,49,0,25,25,0,5960,36800.0833333
38,0,158.03965812,81963,3554.53846154,51,0,26,26,0,92418,256802650.418
39,0,23.9413919414,28245,1204.48148148,45,0,27,27,0,32521,29230733.567
40,0,73.3369230769,34575,1596.04,33,0,25,25,0,39901,47318436.1233
41,0,-17.1950464396,1446,314.888888889,49,0,18,18,0,5668,113045.163399
42,0,-250.867669173,90938,5370.3,27,0,20,20,0,107406,409575287.905
43,0,-339.614285714,31691,2236.8,44,0,15,15,0,33552,66398803.7429
44,0,-24.8746153846,9530,977.2,48,0,25,25,0,24430,4845022.66667
45,1,-2.93162393162,5627,485.846153846,45,1,28,26,0,12632,1153945.49538
