page_id,user_id,"strftime(""%s"", added, 'localtime')"
431,5,1214789406
897,7,1214952868
431,8,1215006250
432,8,1215006314
433,8,1215006382
434,8,1215006523
435,8,1215006606
436,8,1215006817
437,8,1215006870
438,8,1215006931
439,8,1215007057
439,8,1215007084
440,8,1215007475
441,8,1215007627
442,8,1215007901
443,8,1215007938
432,5,1215364933
432,5,1215364977
806,2,1215388214
786,2,1215388217
767,2,1215388220
766,2,1215388223
754,2,1215388225
867,2,1215388227
729,2,1215388230
893,2,1215388232
884,2,1215388235
903,2,1215388237
913,2,1215388242
709,2,1215388245
739,2,1215388247
882,2,1215388257
800,2,1215388260
875,2,1215388264
922,2,1215388269
747,2,1215388272
859,2,1215388274
720,2,1215388279
685,2,1215388282
841,2,1215388285
923,2,1215388289
725,2,1215388293
824,2,1215388295
829,2,1215388299
698,2,1215388306
779,2,1215388310
861,2,1215388319
708,2,1215388325
815,2,1215388332
748,2,1215388336
883,2,1215388339
783,2,1215388342
914,2,1215388344
809,2,1215388347
752,2,1215388350
807,2,1215388355
716,2,1215388357
793,2,1215388360
905,2,1215388365
756,2,1215388370
817,2,1215388374
760,2,1215388422
909,2,1215388426
855,2,1215388488
702,2,1215388490
858,2,1215388494
862,2,1215388498
733,2,1215388500
866,2,1215388506
830,2,1215388509
777,2,1215388513
738,2,1215388516
910,2,1215388519
906,2,1215388522
920,2,1215388525
746,2,1215388529
688,2,1215388534
724,2,1215388537
787,2,1215388542
921,2,1215388546
689,2,1215388557
901,2,1215388561
775,2,1215388569
789,2,1215388574
834,2,1215388577
718,2,1215388582
726,2,1215388585
684,2,1215388588
877,2,1215388592
751,2,1215388596
792,2,1215388599
722,2,1215388629
850,2,1215388631
797,2,1215388634
690,2,1215388637
814,2,1215388642
878,2,1215388644
734,2,1215388663
881,2,1215388666
697,2,1215388672
870,2,1215388678
764,2,1215388686
735,2,1215388721
844,2,1215388724
869,2,1215388727
730,2,1215388729
772,2,1215388732
839,2,1215388734
710,2,1215388736
836,2,1215388738
885,2,1215388740
727,2,1215388745
745,2,1215388748
750,2,1215388753
691,2,1215388757
692,2,1215388762
868,2,1215388766
790,2,1215388770
719,2,1215388773
899,2,1215388775
753,2,1215388778
894,2,1215388781
703,2,1215388801
721,2,1215388803
699,2,1215388808
845,2,1215388811
826,2,1215388815
849,2,1215388818
695,2,1215388821
872,2,1215388824
765,2,1215388827
876,2,1215388829
822,2,1215388832
795,2,1215388835
854,2,1215388882
740,2,1215388884
852,2,1215388887
693,2,1215388891
857,2,1215388893
812,2,1215388895
696,2,1215388898
919,2,1215388900
907,2,1215388903
755,2,1215388909
842,2,1215388912
803,2,1215388915
863,2,1215388918
853,2,1215388919
892,2,1215388922
898,2,1215388927
840,2,1215388931
781,2,1215388934
837,2,1215388938
778,2,1215388941
714,2,1215388947
701,2,1215388951
744,2,1215388953
823,2,1215388968
785,2,1215388988
811,2,1215388991
782,2,1215388993
743,2,1215388996
770,2,1215388999
917,2,1215389001
763,2,1215389003
832,2,1215389019
819,2,1215389021
816,2,1215389023
820,2,1215389026
794,2,1215389030
904,2,1215389033
911,2,1215389035
838,2,1215389038
805,2,1215389040
741,2,1215389047
796,2,1215389050
731,2,1215389054
890,2,1215389056
757,2,1215389058
707,2,1215389060
723,2,1215389064
732,2,1215389067
758,2,1215389069
687,2,1215389072
865,2,1215389074
912,2,1215389076
773,2,1215389078
896,2,1215389080
713,2,1215389083
835,2,1215389089
889,2,1215389102
808,2,1215389106
821,2,1215389113
828,2,1215389117
856,2,1215389119
736,2,1215389152
916,2,1215389154
879,2,1215389156
891,2,1215389173
762,2,1215389183
706,2,1215389195
833,2,1215389197
873,2,1215389200
737,2,1215389249
848,2,1215389252
715,2,1215389283
915,2,1215389286
888,2,1215389288
728,2,1215389293
801,2,1215389295
874,2,1215389303
846,2,1215389305
780,2,1215389307
908,2,1215389311
694,2,1215389313
871,2,1215389315
742,2,1215389317
847,2,1215389319
918,2,1215389322
860,2,1215389324
804,2,1215389326
759,2,1215389330
802,2,1215389332
769,2,1215389334
784,2,1215389337
686,2,1215389342
791,2,1215389344
749,2,1215389346
771,2,1215389348
887,2,1215389350
831,2,1215389353
798,2,1215389354
843,2,1215389356
880,2,1215389358
768,2,1215389366
717,2,1215389370
774,2,1215389372
810,2,1215389377
825,2,1215389379
799,2,1215389381
827,2,1215389388
895,2,1215389390
788,2,1215389393
900,2,1215389395
712,2,1215389401
902,2,1215389408
432,2,1215395034
433,2,1215395049
434,2,1215395290
435,2,1215395325
436,2,1215395619
437,2,1215395636
438,2,1215395674
439,2,1215395907
440,2,1215396325
441,2,1215396558
442,2,1215396774
443,2,1215396809
431,7,1215444305
432,7,1215444324
433,7,1215444345
434,7,1215444357
435,7,1215444379
436,7,1215444392
437,7,1215444411
437,7,1215444417
438,7,1215444434
439,7,1215444487
440,7,1215445191
441,7,1215445372
442,7,1215445389
907,9,1215469531
821,9,1215469691
847,9,1215469774
431,1,1215509386
431,10,1215527669
432,10,1215527714
433,10,1215527744
817,14,1215537489
888,14,1215537542
912,14,1215537614
798,14,1215537683
921,14,1215537803
752,14,1215537885
825,14,1215537957
739,14,1215537983
802,14,1215538038
842,14,1215538106
753,14,1215538136
